"date","btc_price","btc_market_cap","btc_volume","gold_price","btc_return","btc_volatility","gold_log_return","rolling_vol"
"2020-04-27",7683.86741508334,140977260141.332,33760863612.1251,1714.95,0.0407805372694987,0.0544655931646647,-0.000553798635486721,0.0181042846690153
"2020-04-28",7774.28155444805,142649802462.829,35205525351.8953,1691.55,0.0117667490184992,0.0522810376732911,-0.0137386573096823,0.0176449856523885
"2020-04-29",7758.23025518595,142370212777.142,32855687796.9691,1703.35,-0.00206466657396991,0.0513221813844029,0.00695163187117601,0.0168260203308019
"2020-04-30",8744.43028701656,160483573440.178,60399592065.5405,1702.75,0.127116623172068,0.0552381632161892,-0.000352309096154571,0.0164081822284118
"2020-05-01",8610.63580374089,158042623264.392,65838312160.0907,1686.25,-0.0153005374717576,0.0497679541388726,-0.00973746259946209,0.0165300005733279
"2020-05-04",8888.67191268687,163036842346.686,45617019157.3732,1709.1,0.0322898465668688,0.0484475131803057,0.0134597876324939,0.0163357792234237
"2020-05-05",8884.40781357706,162341412439.881,44698213713.3913,1699.55,-0.000479722859803654,0.0456532782395053,-0.0056034060332909,0.0137196401081088
"2020-05-06",9003.24055762158,165335617639.049,43436234291.9711,1691.5,0.0133754265380436,0.0452861675302018,-0.00474780090040541,0.0137686587932777
"2020-05-07",9144.68703972007,167950864937.147,48538811466.8027,1704.05,0.0157106189924859,0.045194581791774,0.00739206146101333,0.013464688830485
"2020-05-08",9959.16641626177,182927847431.449,61712313964.6919,1704.05,0.0890658557262812,0.0473627578537377,0,0.0132719316360234
"2020-05-11",8752.61708774583,160814678353.708,61704475184.5331,1702.75,-0.121149630208592,0.0469079711020176,-0.00076317956034865,0.0132783583151243
"2020-05-12",8604.75159101983,158113540964.467,57996080837.49,1702.4,-0.0168938610296364,0.0454058385669408,-0.000205570974102424,0.0132086725357154
"2020-05-13",8788.46674941465,161474125336.405,39515455755.7252,1708.4,0.0213504313810233,0.0454187947952035,0.00351823981998619,0.012524954370575
"2020-05-14",9283.08601265873,170593350055.825,44239951916.5232,1731.6,0.0562804954888204,0.0459760709961344,0.0134885766005139,0.0119682657489764
"2020-05-15",9796.49452702453,179398095871.34,52076585310.7239,1735.35,0.055305801719999,0.0465933154222195,0.00216328557518211,0.011937106769313
"2020-05-18",9666.32719340344,177224284369.132,35650032953.9699,1734.7,-0.0132871338070992,0.0467556033101196,-0.00037463437564425,0.0113826460583082
"2020-05-19",9708.43985879311,178446153576.464,38922896809.9544,1737.95,0.00435663562251532,0.0452724749984867,0.00187176994449245,0.0113806810371246
"2020-05-20",9760.19893716219,179127815802.662,37077538114.7209,1748.3,0.00533134871533455,0.0450514994670737,0.00593762949174754,0.0113944958691277
"2020-05-21",9526.50759300584,175227227252.906,34829170074.8249,1724.9,-0.0239432972279453,0.0454657948686948,-0.0134748094330199,0.0112210409124489
"2020-05-22",9059.96250687173,166569335290.84,35965016693.7241,1733.55,-0.0489733600250984,0.0466342820459317,0.00500225131897684,0.0112448650828647
"2020-05-25",8731.84852587065,161407638875.365,29437505507.2037,1733.55,-0.0362158210646253,0.0460028150868177,0,0.0112448650828647
"2020-05-26",8883.69176986342,163333743988.583,29130957734.1038,1720.25,0.0173895875017634,0.0459152887527615,-0.00770170000697072,0.00923213327699021
"2020-05-27",8839.13066327325,162547226896.538,26860828302.6154,1694.6,-0.00501605725913827,0.0459635643355516,-0.0150229043182256,0.0093134221571889
"2020-05-28",9174.11856399642,168615778509.823,28916177009.8906,1717.35,0.0378982858704704,0.04550168705498,0.0133356802735672,0.0095748478203333
"2020-05-29",9546.04563503715,175534414971.323,31771100326.3334,1728.7,0.0405409052048168,0.0447323886541135,0.00658727589081019,0.0087541604164343
