"date","btc_price","btc_market_cap","btc_volume","gold_price"
2020-12-14,19151.1344234049,355642790361.317,23550581096.0746,1831.15
2020-12-15,19259.970471531,357681110300.364,21638023119.8153,1850.65
2020-12-16,19432.3624568624,360542942204.959,24173322660.1073,1851.95
2020-12-17,21317.6621367868,396179736655.64,39062639738.0484,1890.75
2020-12-18,22805.6558059889,423587689809.277,60693764158.5622,1879.75
2020-12-21,23518.3184205472,436893169132.711,32907758817.8409,1880
2020-12-22,22840.9917071884,424329939581.777,38423396405.3931,1877.1
2020-12-23,23794.7933026286,441752551013.191,38733771616.2739,1875
2020-12-24,23308.1272321772,433051601800.693,42917744239.8244,1875
2020-12-25,23760.287048543,441614502954.163,36826373658.9713,1875
2020-12-28,26423.2287919023,493427450341.26,56654980595.9309,1875
2020-12-29,27125.3841206515,503712223153.667,42186521237.4668,1874.3
2020-12-30,27424.5389546067,509680257177.048,38081840205.6021,1887.6
2020-12-31,28837.288528959,535967306917.841,43341140482.2822,1887.6
2021-01-01,29022.4183953042,539438036435.67,43503516563.2949,1887.6
2021-01-04,33008.2262034893,613616917625.697,178894068361.353,1943.2
2021-01-05,31515.5759666584,585726270248.789,74657165356.2272,1940.35
2021-01-06,34082.2060490442,633651671519.396,67420500715.5203,1931.95
2021-01-07,36933.5201373091,682743683563.074,71027195897.9512,1920.1
2021-01-08,39547.0840813557,735339707368.334,78642959829.4919,1862.9
2021-01-11,38397.8959854182,714078952009.024,73381123612.6933,1847.25
2021-01-12,35669.9066866335,663380898829.005,111691569520.105,1841.25
2021-01-13,33938.3358781009,629751630408.413,68954134557.3671,1858.85
2021-01-14,37456.0077254864,696668634091.344,65278944793.976,1841.75
2021-01-15,39232.7499714035,729751433670.088,57519444621.6867,1839
2021-01-18,35804.2638856747,672291934493.44,50749258739.1945,1833.05
2021-01-19,36595.4647692826,682647247200.097,46769030146.7676,1834.7
2021-01-20,36104.8638577551,671734819189.103,51736994549.006,1856.6
2021-01-21,35587.4892027355,662434464441.264,58406615612.0686,1862.1
2021-01-22,30913.6957360538,575205510268.129,69415314297.6663,1852.7
2021-01-25,32273.5173503293,600595408892.199,42810544126.1781,1856.85
2021-01-26,32375.3200629815,602517850752.03,50410553261.4145,1856.6
2021-01-27,32582.1094450212,606573549809.827,48489676580.4107,1843
2021-01-28,30445.5258651135,566661443732.407,51514291052.4324,1853.7
2021-01-29,33128.3475286115,616625386428.24,51075972572.4596,1863.8
2021-02-01,33064.7867670151,615013848827.35,42488649643.2318,1862.95
2021-02-02,33405.9903571433,621908231690.138,49268860242.6662,1833.1
2021-02-03,35485.9859338244,660664104637.485,50730704376.6092,1835.45
2021-02-04,37494.7176246043,695794870715.525,49762137494.2067,1785.9
2021-02-05,36816.5080820341,686453802173.384,54494811707.2305,1802.95
2021-02-08,38833.3402645553,723434796637.743,53802559038.8092,1835.25
2021-02-09,46307.574121594,862413737410.917,86994225365.2278,1839.6
2021-02-10,46569.56483,867164581003.356,78828431117.0553,1842.65
2021-02-11,44848.693449505,839561451461.057,70000356395.8151,1840.1
2021-02-12,47815.9617555432,890629045243.595,66187179918.8879,1816.35
2021-02-15,48607.8745224845,905515462576.995,57738376570.1319,1817.3
2021-02-16,47898.4870276331,892345220938.278,61061855793.7628,1794.25
2021-02-17,49238.1369067249,917339726314.696,64141133353.9756,1780.7
2021-02-18,52143.6788446198,971516568847.578,68478739131.4286,1773.15
2021-02-19,51733.075539032,963911356673.46,58486508605.5578,1786.2
2021-02-22,57669.3035269179,1075380337357.91,61223272210.9628,1807.45
2021-02-23,54410.856294516,1012091985973.46,101532021847.066,1799.65
2021-02-24,48691.8948317044,904133801444.528,116689607925.815,1788
2021-02-25,49849.3787135831,929081504353.552,73140585468.9653,1779.65
2021-02-26,46992.6654500485,875883932252.44,60355381275.5455,1742.85
2021-03-01,44970.1634599467,838307614585.193,59679588927.0806,1734.15
2021-03-02,49787.3399594967,928146793676.429,63218569171.5983,1723.85
2021-03-03,48532.236789817,905413239164.906,53499537416.8165,1711.4
2021-03-04,50577.457469152,942969910364.18,59212268141.1663,1712.1
2021-03-05,48727.4512008012,908517236707.537,60749587836.1691,1696.25
2021-03-08,51313.0926202736,955040794770.14,46146324828.4808,1687.05
2021-03-09,52328.5359126325,974195000547.444,53568946625.6223,1716.9
2021-03-10,54700.2734392774,1018978819157.42,57418251743.0604,1716.2
2021-03-11,56020.4877195857,1044805904677.55,63560545036.7973,1724.25
2021-03-12,57788.8681032951,1077836070933.29,64605228617.761,1704.8
2021-03-15,59428.9675660278,1111684638819.07,48104078384.274,1723.65
2021-03-16,55805.3292492343,1049197142851.56,70594488699.7068,1735
2021-03-17,56830.2533350762,1060221966894.74,63219904254.3545,1729.65
